"Date","Time","Annahme => Fermenter 1","Annahme => Fermenter 2","Feststoffe=> Fermenter 1","Feststoffe=> Fermenter 2"
"17/01/16","00:02:17","      0","      0"," 222","   0"
"17/01/16","00:06:39","      0","      0"," 224","   0"
"17/01/16","00:24:34","      0","      0","   0"," 225"
"17/01/16","00:28:50","      0","      0","   0"," 223"
"17/01/16","01:04:34","      0","      0"," 224","   0"
"17/01/16","01:08:55","      0","      0"," 223","   0"
"17/01/16","01:24:27","      0","      0","   0"," 224"
"17/01/16","01:28:52","      0","      0","   0"," 226"
"17/01/16","02:04:16","      0","      0"," 226","   0"
"17/01/16","02:08:29","      0","      0"," 219","   0"
"17/01/16","02:24:24","      0","      0","   0"," 224"
"17/01/16","02:28:36","      0","      0","   0"," 226"
"17/01/16","03:04:26","      0","      0"," 223","   0"
"17/01/16","03:08:40","      0","      0"," 225","   0"
"17/01/16","03:24:30","      0","      0","   0"," 225"
"17/01/16","03:28:58","      0","      0","   0"," 227"
"17/01/16","04:04:48","      0","      0"," 231","   0"
"17/01/16","04:09:24","      0","      0"," 231","   0"
"17/01/16","04:24:55","      0","      0","   0"," 229"
"17/01/16","04:29:36","      0","      0","   0"," 230"
"17/01/16","05:04:50","      0","      0"," 228","   0"
"17/01/16","05:09:29","      0","      0"," 231","   0"
"17/01/16","05:24:10","      0","      0","   0"," 228"
"17/01/16","05:28:30","      0","      0","   0"," 230"
"17/01/16","06:04:52","      0","      0"," 227","   0"
"17/01/16","06:09:46","      0","      0"," 227","   0"
"17/01/16","06:24:46","      0","      0","   0"," 226"
"17/01/16","06:29:26","      0","      0","   0"," 231"
"17/01/16","07:04:51","      0","      0"," 231","   0"
"17/01/16","07:09:30","      0","      0"," 232","   0"
"17/01/16","07:24:42","      0","      0","   0"," 229"
"17/01/16","07:29:16","      0","      0","   0"," 230"
"17/01/16","07:56:32","   1395","      0","   0","   0"
"17/01/16","07:59:05","      0","   1385","   0","   0"
"17/01/16","08:04:48","      0","      0"," 230","   0"
"17/01/16","08:09:17","      0","      0"," 228","   0"
"17/01/16","08:24:13","      0","      0","   0"," 228"
"17/01/16","08:28:44","      0","      0","   0"," 227"
"17/01/16","09:04:46","      0","      0"," 228","   0"
"17/01/16","09:09:36","      0","      0"," 226","   0"
"17/01/16","09:24:45","      0","      0","   0"," 228"
"17/01/16","09:29:25","      0","      0","   0"," 229"
"17/01/16","09:56:33","   1395","      0","   0","   0"
"17/01/16","09:59:06","      0","   1390","   0","   0"
"17/01/16","10:03:59","      0","      0"," 208","   0"
"17/01/16","10:08:12","      0","      0"," 205","   0"
"17/01/16","10:24:26","      0","      0","   0"," 208"
"17/01/16","10:28:51","      0","      0","   0"," 211"
"17/01/16","11:04:31","      0","      0"," 207","   0"
"17/01/16","11:08:15","      0","      0"," 209","   0"
"17/01/16","11:24:30","      0","      0","   0"," 210"
"17/01/16","11:28:51","      0","      0","   0"," 207"
"17/01/16","11:56:32","   1395","      0","   0","   0"
"17/01/16","11:59:04","      0","   1385","   0","   0"
"17/01/16","12:03:46","      0","      0"," 206","   0"
"17/01/16","12:07:47","      0","      0"," 209","   0"
"17/01/16","12:23:48","      0","      0","   0"," 205"
"17/01/16","12:27:47","      0","      0","   0"," 199"
"17/01/16","13:03:43","      0","      0"," 203","   0"
"17/01/16","13:07:41","      0","      0"," 205","   0"
"17/01/16","13:24:13","      0","      0","   0"," 201"
"17/01/16","13:27:40","      0","      0","   0"," 201"
"17/01/16","14:04:23","      0","      0"," 203","   0"
"17/01/16","14:07:59","      0","      0"," 207","   0"
"17/01/16","14:24:10","      0","      0","   0"," 203"
"17/01/16","14:27:34","      0","      0","   0"," 207"
"17/01/16","15:04:12","      0","      0"," 206","   0"
"17/01/16","15:07:42","      0","      0"," 204","   0"
"17/01/16","15:24:06","      0","      0","   0"," 205"
"17/01/16","15:27:33","      0","      0","   0"," 206"
"17/01/16","15:56:33","   1395","      0","   0","   0"
"17/01/16","15:59:06","      0","   1385","   0","   0"
"17/01/16","16:04:10","      0","      0"," 203","   0"
"17/01/16","16:07:37","      0","      0"," 205","   0"
"17/01/16","16:23:35","      0","      0","   0"," 205"
"17/01/16","16:27:21","      0","      0","   0"," 207"
"17/01/16","17:03:38","      0","      0"," 203","   0"
"17/01/16","17:07:29","      0","      0"," 206","   0"
"17/01/16","17:10:59","      0","      0","   0"," 205"
"17/01/16","17:14:50","      0","      0","   0"," 205"
"17/01/16","18:03:22","      0","      0"," 205","   0"
"17/01/16","18:07:24","      0","      0"," 207","   0"
"17/01/16","18:23:17","      0","      0","   0"," 204"
"17/01/16","18:27:23","      0","      0","   0"," 206"
"17/01/16","19:03:29","      0","      0"," 205","   0"
"17/01/16","19:07:30","      0","      0"," 181","   0"
"17/01/16","19:23:24","      0","      0","   0"," 205"
"17/01/16","19:27:23","      0","      0","   0"," 204"
"17/01/16","20:03:31","      0","      0"," 205","   0"
"17/01/16","20:07:27","      0","      0"," 205","   0"
"17/01/16","20:23:41","      0","      0","   0"," 205"
"17/01/16","20:27:32","      0","      0","   0"," 205"
"17/01/16","21:03:38","      0","      0"," 209","   0"
"17/01/16","21:07:37","      0","      0"," 208","   0"
"17/01/16","21:23:31","      0","      0","   0"," 210"
"17/01/16","21:27:37","      0","      0","   0"," 209"
"17/01/16","22:03:49","      0","      0"," 205","   0"
"17/01/16","22:08:03","      0","      0"," 208","   0"
"17/01/16","22:24:09","      0","      0","   0"," 209"
"17/01/16","22:27:49","      0","      0","   0"," 210"
"17/01/16","23:04:20","      0","      0"," 209","   0"
"17/01/16","23:07:59","      0","      0"," 207","   0"
"17/01/16","23:24:13","      0","      0","   0"," 208"
"17/01/16","23:28:19","      0","      0","   0"," 209"
