"Date","Time","Gasfüllstand gesamt %","Gasfüllstand Fermenter 1%","Gasfüllstand Fermenter 2%","Gasfüllstand Nachgärer  %","Gasfüllstand Endlager  %","Gasanalyse % CH4","Gasanalyse % O2","Gasanalyse ppm H2S","BHKW 1 kW","BHKW 2 kW","Temp. Fermenter 1","Temp. Fermenter 2","Temp. Nachgärer","Temp. Endlager"
"15/07/17","00:00:00","  30","   7","  23","  87","   5","  48"," 20.9","   3","  456","    0"," 44.1"," 43.2"," 41.1","102.9"
"15/07/17","01:00:00","  32","   4","  32","  89","   5","  48"," 20.9","   3","  456","    0"," 44.1"," 43.3"," 41.1","102.9"
"15/07/17","02:00:00","  30","   4","  41","  72","   5","  48"," 20.9","   3","  456","    0"," 44.1"," 43.3"," 41.1","102.9"
"15/07/17","03:00:00","  30","   4","  41","  71","   5","  48"," 20.9","   3","  455","    0"," 44.0"," 43.3"," 41.2","102.9"
"15/07/17","04:00:00","  33","   4","  40","  85","   5","  48"," 20.9","   3","  456","    0"," 44.0"," 43.2"," 41.1","102.9"
"15/07/17","05:00:00","  33","   4","  40","  86","   5","  49"," 20.9","   3","  456","    0"," 44.0"," 43.2"," 41.2","102.9"
"15/07/17","06:00:00","  33","   4","  40","  84","   5","  49"," 20.9","   3","  457","    0"," 43.9"," 43.2"," 41.2","102.9"
"15/07/17","07:00:00","  33","   4","  40","  85","   5","  49"," 20.9","   3","  457","    0"," 44.0"," 43.1"," 41.2","102.9"
"15/07/17","08:00:00","  34","   4","  40","  87","   5","  49"," 20.9","   3","  457","    0"," 44.0"," 43.1"," 41.2","102.9"
"15/07/17","09:00:00","  33","   3","  40","  84","   5","  49"," 20.9","   3","  457","    0"," 43.9"," 43.1"," 41.2","102.9"
"15/07/17","10:00:00","  33","   4","  40","  85","   5","  49","  0.9","   3","  455","    0"," 43.9"," 43.2"," 41.2","102.9"
"15/07/17","11:00:00","  36","   7","  46","  86","   5","  49","  0.9","   3","  456","    0"," 43.9"," 43.2"," 41.2","102.9"
"15/07/17","12:00:00","  39","  10","  56","  87","   5","  49","  0.9","   3","  458","    0"," 43.8"," 43.3"," 41.3","102.9"
"15/07/17","13:00:00","  45","  15","  73","  90","   5","  47","  0.0","   4","  458","    0"," 43.7"," 43.4"," 41.3","102.9"
"15/07/17","14:00:00","  52","  18","  96","  92","   5","  47","  0.0","   4","  483","    0"," 43.9"," 43.3"," 41.3","102.9"
"15/07/17","15:00:00","  54","  23","  98","  93","   5","  47","  0.0","   4","  483","    0"," 43.9"," 43.3"," 41.3","102.9"
"15/07/17","16:00:00","  54","  23","  98","  93","   5","  47","  0.0","   4","  481","    0"," 43.9"," 43.3"," 41.3","102.9"
"15/07/17","17:00:00","  55","  23","  98","  94","   5","  47","  0.0","   4","  485","    0"," 43.9"," 43.4"," 41.4","102.9"
"15/07/17","18:00:00","  54","  20","  98","  94","   5","  47","  0.0","   4","  482","    0"," 43.9"," 43.3"," 41.4","102.9"
"15/07/17","19:00:00","  52","  14","  98","  94","   5","  47","  0.0","   4","  482","    0"," 44.0"," 43.3"," 41.4","102.9"
"15/07/17","20:00:00","  51","  10","  98","  94","   5","  47","  0.0","   4","  482","    0"," 44.0"," 43.4"," 41.4","102.9"
"15/07/17","21:00:00","  50","   6","  97","  94","   5","  47","  0.9","   3","  482","    0"," 44.0"," 43.4"," 41.4","102.9"
"15/07/17","22:00:00","  50","   5","  97","  94","   5","  47","  0.9","   3","  481","    0"," 44.0"," 43.4"," 41.4","102.9"
"15/07/17","23:00:00","  43","   5","  85","  78","   5","  47","  0.9","   3","  456","    0"," 44.0"," 43.3"," 41.4","102.9"
